,title,view_count,like_count,comment_count,published,duration,video_id
893,"Barstool Pizza Review - Pizzeria Lola (Minneapolis,Minnesota)",140187,2190,399,2020-3-3,249.0,7SlFTu-5E7s
894,"Barstool Pizza Review - Zuppardi's Apizza (West Haven, CT)",207059,2743,484,2020-3-3,335.0,DearBrdAbpc
895,Barstool Pizza Review - W4 Pizza,74757,1074,165,2020-3-3,146.0,X4BvMBtfCXo
896,(Henry Winkler) Barstool Pizza Review - Big Al's,809763,14987,1304,2020-3-3,396.0,5yCVU3Uv_RM
897,Barstool Pizza Review - Village Square Pizza,154124,2181,535,2020-3-3,318.0,nil3KqEx7dM
898,"Barstool Pizza Review - Side Piece Pizza (Palms Casino, Las Vegas)",174933,2623,439,2020-3-3,213.0,fdzcIAPrqWI
899,Barstool Pizza Review - Cugino's Italian Deli & Pizzeria (Las Vegas) Presented By BODYARMOR,104068,1945,267,2020-3-3,183.0,U3wJmRbypjI
900,"Barstool Pizza Review - Upper Crust Pizzeria (Beverly Hills, CA)",111137,1354,319,2020-3-3,161.0,NEfQq13sh1o
901,"Barstool Pizza Review - Stella Barra Pizzeria (Santa Monica, CA) Presented by SoFi",82426,948,211,2020-3-3,121.0,pLHHg50QI0c
902,Barstool Pizza Review - FanDuel Sportsbook Pizza (Bonus - It's Dave's Birthday),62070,958,179,2020-3-3,156.0,CldQetAJxfk
903,"Barstool Pizza Review - Fort Lee Pizzeria (Fort Lee, NJ)",305665,4722,533,2020-3-3,384.0,c7THkzsMq2Q
904,"Barstool Pizza Review - Saverio's Authentic Pizza (Massapequa,NY)",85890,1165,173,2020-3-3,119.0,Cde0My7PDTo
905,"Barstool Pizza Review - Mario's (Massapequa, NY) Presented By SoFi",101242,1349,250,2020-3-3,171.0,sAIis40He5A
906,"Barstool Pizza Review - Pizza Sam (Jackson Heights, NY)",821898,13845,1013,2020-3-3,293.0,gI2DTfnnOIA
907,(Dan Soder) Barstool Pizza Review - Rosa's Pizza (Queens),129130,1773,213,2020-3-3,273.0,pZW_oX0Xy_s
908,Barstool Pizza Review - Paulie Gee's (Brooklyn) Bonus Paulie Gee's Slice Shop Review,483764,5805,641,2020-3-3,458.0,B9dd3ihlL2M
